index	0
MraZ	533
MraW	692
FtsL	648
FtsI	704
MurE	767
MurF	660
MraY	640
MurD	638
FtsW	1391
MurG	575
MurC	696
MurB	690
MurA	1211
DdlB	613
FtsQ	632
FtsA	612
FtsZ	693
